package,old,new,delta
khisr,1.0.2,1.0.2.9000,*
askpass,1.2.0,1.2.0,
cli,3.6.2,3.6.2,
cpp11,0.4.7,0.4.7,
curl,5.2.1,5.2.1,
dplyr,1.1.4,1.1.4,
fansi,1.0.6,1.0.6,
generics,0.1.3,0.1.3,
glue,1.7.0,1.7.0,
hms,NA,1.1.3,*
httr2,1.0.1,1.0.1,
janitor,NA,2.2.0,*
jsonlite,1.8.8,1.8.8,
lifecycle,1.0.4,1.0.4,
lubridate,NA,1.9.3,*
magrittr,2.0.3,2.0.3,
openssl,2.2.0,2.2.0,
pillar,1.9.0,1.9.0,
pkgconfig,2.0.3,2.0.3,
purrr,1.0.2,1.0.2,
R6,2.5.1,2.5.1,
rappdirs,0.3.3,0.3.3,
rlang,1.1.4,1.1.4,
snakecase,NA,0.11.1,*
stringi,1.8.4,1.8.4,
stringr,1.5.1,1.5.1,
sys,3.4.2,3.4.2,
tibble,3.2.1,3.2.1,
tidyr,1.3.1,1.3.1,
tidyselect,1.2.1,1.2.1,
timechange,NA,0.3.0,*
utf8,1.2.4,1.2.4,
vctrs,0.6.5,0.6.5,
withr,3.0.0,3.0.0,
